cantor,code,titulo,inicio da letra,p
Ana Clara - Atitude 67,16517,PÁGINA MARCADA,Você diz que sabe tudo mas de mim não sabe nada,32B
Ana e Mú,1708,QUANDO A GENTE AMA PRA VALER,Quando a gente ama não há nada que ,19B
Ana Paula Valadão,7855,PODER DO TEU AMOR,Senhor eis-me aqui vem transformar meu,EVB
Ana Vilela,16157,TREM-BALA,Não é sobre ter todas as pessoas do mundo,30A
Ana Vilela,16298,PROMETE ,Prometa que não vai crescer distante,31A
Anavitória,16086,AGORA EU QUERO IR,Encontrei descanso em você me arquitetei,29D
Anavitória,16149,SINGULAR,É tão singular o jeito que me observa acordar,30A
Anavitória,16219,DENGO,Ô dengo me fala tudo sobre o mundo,30C
Anavitória,16371,"AI, AMOR",Ei fiz questão da promessa lembrar,31C
Anavitória - Matheus e Kauan,16206,FICA,Mapeei a dedo tuas sardas,30C
Anavitória - Tiago Iorc,16169,TREVO (TU),Tu é trevo de quatro folhas,30B
Anavitória - Vitor Kley,16548,PUPILA,Como que eu vou dizer pra ela,32C
Anderson Freire,16073,RARIDADE,Não consigo ir além do teu olhar,29C
Anderson Freire e Bruna Karla,2456,IDENTIDADE,Não vou negar quem sou não há máscara,EVAN04B
André Valadão,2427,PELA FÉ,Oh oh oh oh oh oh oh pela fé posso,EVAN04A
André Valadão,2470,SE EU ME HUMILHAR,Neste lugar Tu és real,EVAN04B
André Valadão,2480,VOU CRER,Colocar minha fé em Ti,EVAN04B
André Valadão,7780,EU E MINHA CASA,Quero consagrar meu lar a Ti,EVB
André Valadão,7800,MILAGRES,Posso crer que em minha vida,EVB
André Valadão,7796,MAIS QUE ABUNDANTE,Meu Deus é mais que abundante,EVC
Andrea Boccelli,4150,COM TE PARTIRO,Quando sono solo sogno all'orizzonte,3F
Andru Donalds,19395,SAVE ME NOW,Here I am in a place that I,INT07B
Andy Gibb,2525,I JUST WANT TO BE YOUR EVERYTHING,For so long,INT04A
Andy Williams,5988,THE IMPOSSIBLE DREAM,To dream the impossible dream,"INT03, USA3D"
Andy Williams,4581,HAWAIIAN WEDDING SONG,This is the moment I've waited for,USAA
Andy Williams,4595,MORE,More than the greatest love the world,USAE
Andy Williams,4539,MOON RIVER,Moon River wider than a mile,USAF
Andy Williams,4538,LOVE STORY,Where do I begin? To tell the,USAH
Angela Aki,2040,THIS LOVE,Ai ga areba heiwa da to,JP4A
Angela Aki,2360,TEGAMI ~ HAIKEI JUHGO NO KIMI E,Haikei kono tegami yonde iru anata wa,JP5D
Angela Aki,18211,KISS ME GOODBYE,Anata wa mayotte itemo door wa aite,JP6A
Angela Aki,18224,RAIN,Gohin ni susundeku jikan no,JP6A
Angela Aki,18296,KAGAYAKU HITO,Mune ni hoho o uzume naite ita ne ano hi,JP6C
Angela Aki,18358,WE'RE ALL ALONE,Kanashimi kara jibun o mamoru,JP6D
Angela Aki,18552,SAKURA IRO,Kawazoi ni saiteta sakura namiki o,JP8A
Angela Aki,18574,HOME,Sensai na ito de soboku na machi ni,JP8B
Ângela Maria,7966,FALHASTE CORAÇÃO,E tu que acreditavas mandar em todo,12B
Ângela Maria ,1276,TANGO PRA TEREZA ,Hoje alguém pôs a rodar um disco,16C
Ângela Maria e Emílio Santiago,1287,ESCUTA,Escuta,16D
