cantor,code,titulo,inicio da letra,p
Alcione,6626,O MUNDO É DE NÓS DOIS,Esse nosso amor é a perfeição…,6F
Alcione,6759,VOCÊ ME VIRA A CABEÇA,Você me vira a cabeça me tira...,7C
Alcione,6940,MEU ÉBANO,É você e um negão de tirar o chapéu…,8C
Alcione,7186,NA HORA DA RAIVA,Na hora da raiva eu lhe disse tudo,9C
Alcione,7232,RIO ANTIGO,Quero o bate-papo na esquina,9D
Alcione,7201,O SURDO,Amigo que ironia desta vida,9F
Alcione,16633,AMOR SURREAL,Se ajoelha e me pede perdão,33A
Alcione - Gonzaguinha,15739,MESA DE BAR,Mesa de bar é lugar pra todo mundo que é ,27C
Alcione E Alexandre Pires,4079,ESTRANHA LOUCURA,Minha estranha loucura,3D
Alda Célia,2402,A COLHEITA,Voz do que clama em meio ao deserto,EVAN04A
Alda Célia,2426,ÓLEO DE ALEGRIA,O Espírito de Deus nos ungiu pra,EVAN04A
Alda Célia,2428,PODER DA ORAÇÃO,Eu creio no poder dos joelhos que se,EVAN04A
Alda Célia,2439,VOAR COMO A ÁGUIA,É tempo de quebrar cadeias restaurar,EVAN04A
Alda Célia,2462,MOSTRA-ME TUA GLÓRIA,Santifica-me purifica-me Senhor,EVAN04B
Alda Célia,7755,CHUVA DE AVIVAMENTO,Nos últimos dias diz o Senhor,EVB
Alda Célia,7875,SOPRA ESPÍRITO DE DEUS,Sopra dos quatro cantos Espírito,EVB
Alejandro Sanz,4105,CORAZÓN PARTÍO,Tiritas pá este corazón partío,3E
Alem do Véu,2424,NASCI PRA VENCER,Não posso deixar meu sonho se perder,EVAN04A
Além do Véu,2965,ALÉM DO VÉU,Procurei de muitas formas alegrar seu,EVAN04D
Além do Véu,2980,FILHOS DE DEUS,Algo em nós nos torna diferentes,EVAN04D
Alesis Brothers,9007,BABY COME BACK,Spending all my nights all my money,"INT01, A42"
Alesis ,9242,ALL FOR A REASON , I know it's late and I'm a little drunk ,"INT02, A45"
Alex e Ronaldo,16235,SEXTA FEIRA SUA LINDA,Fim de semana começou,30C
Alexandre Peixe,9569,VOCÊ VAI PIRAR,Você vai pirar vai enlouquecer,13B
Alexandre Peixe ,1077,EU SOU MAIS VOCÊ ,Ô ô... ô ô ô ô,15A
