cantor,code,titulo
Agnaldo Timóteo,4399,MEU GRITO
Agnaldo Timóteo,6503,OS VERDES CAMPOS DA MINHA TERRA
Agnaldo Timóteo,6947,NÃO MEREÇO VOCÊ
Agnaldo Timóteo,6959,OS BRUTOS TAMBÉM AMAM
Agnaldo Timóteo,6884,A NOIVA
Agnaldo Timóteo,7166,LIVRE
Agnela,1150,PODIA SER
Agostinho Dos Santos,7301,AQUELES OLHOS VERDES
Agostinho dos Santos,9695,MANHÃ DE CARNAVAL
Agostinho Dos Santos,4221,A FELICIDADE
Agridoce (Pitty),2792,DANÇANDO
Agridoce (Pitty),15202,130 ANOS
Aguinaldo Timóteo,15621,QUEM SERÁ?
A-Ha,4973,TAKE ON ME
A-ha,19213,HUNTING HIGH AND LOW
A-Ha,19400,YOU ARE THE ONE
A-ha,19853,STAY ON THESE ROADS
Ai,18319,YOU ARE MY STAR
Ai,18486,BELIEVE
Ai Johji e Shiki Chinami,5103,AKAI GLASS
Ai Takano,18627,ORE GA SEIGI DA! JASPION
Aikawa Nanase,5678,BYE BYE
Aikawa Nanase,5815,SWEET EMOTION
Aikawa Nanasse,5645,YUME MIRU SHOJYOJYA IRARENAI
Aiko,2031,KABUTO MUSHI
Air Supply,4935,LOST IN LOVE
Air Supply,9105,EVEN THE NIGHTS ARE BETTER
Air Supply,9182,THE ONE THAT YOU LOVE
Air Supply,5911,HERE I AM
Air Supply,19433,GOODBYE
Air Supply,19499,MAKING LOVE OUT OF NOTHING AT ALL
Air Supply,19769,LONELY IS THE NIGHT
Air Supply ,9243,ALL OUT OF LOVE 
AKB48,18601,365 NICHI NO KAMI HIKOHKI
Akikawa Masafumi,2015,SEN NO KAZE NI NATTE
Akimoto Junko,2011,MADINSON GUN NO KOI
Akimoto Junko,2022,AI NO MAMA DE...
Akimoto Junko,2124,AME NO TABIBITO
Akimoto Junko,18233,TASOGARE LOVE AGAIN
Akimoto Junko,18602,AI KAGI
Akioka Shuji,2296,OTOKO NO TABIJI
Akioka Shuji,18432,SAKE BOJO
Akioka Shuji,18562,AIBOH ZAKE
Akundum,3563,EMACONHADA
Al Jarreau,9193,WE'RE IN THIS LOVE TOGETHER
Al Jarreau,5942,MORNIN'
Al Martino,4592,LOVE IS BLUE
Al Stewart,4806,YEAR OF THE CAT
Alan,18485,BALLAD ~NAMONAKI KOI NO UTA~
Alan,18580,KUON NO KAWA
Alan e Aladim,16394,LIGUEI PRA DIZER QUE TE AMO
Alan e Aladim,16652,DOIS PASSARINHOS
Alan Jackson,9026,EVERYTHING I LOVE
Alan Jackson,9036,I'LL TRY
Alan Jackson,9041,LIVIN' ON LOVE
Alan Jackson,9139,MIDNIGHT IN MONTGOMERY
Alan Parson Project,4888,EYE IN THE SKY
Alan Parson's Project,9187,TIME
Alanis Morissette,4850,YOU OUGHTA KNOW
Alanis Morissette,4922,IRONIC
Alanis Morissette,4997,YOU LEARN
Alanis Morissette,2570,THAT I WOULD BE GOOD
Alanis Morissette,19100,HAND IN MY POCKET
Alanis Morissette,19147,THANK U
Alanis Morissette,19354,UNINVITED
Alanis Morissette,19902,OFFER
Alannah Myles,2602,BLACK VELVET
Alavontê,15607,Ê LÁ EM CASA
Albert Hammond,9128,IT NEVER RAINS IN SOUTHERN CALIFORNIA
Albert Hammond,4626,FOR THE PEACE OF ALL MANKIND
Alceu Valenca,16674,EU VOU FAZER VOCE VOAR
Alceu Valença,1120,SOLIDÃO
Alceu Valença,15223,DONA DE 7 COLINAS
Alceu Valença,3880,LA BELLE DE JOUR
Alceu Valença,3903,ANUNCIAÇÃO
Alceu Valença,4071,CORAÇÃO BOBO
Alceu Valença,6452,COMO DOIS ANIMAIS
Alceu Valença,3277,TROPICANA
Alcione,9282,MENINO SEM JUÍZO
Alcione,9286,MEU VÍCIO É VOCÊ
Alcione,9337,SE NÃO É AMOR
Alcione,9316,PIOR É QUE EU GOSTO
Alcione,1165,EU VOU PRA LAPA
Alcione,1600,O QUE EU FAÇO AMANHÃ?
Alcione,1604,FAZ UMA LOUCURA POR MIM
Alcione,1624,QUEM É VOCÊ?
Alcione,1795,QUALQUER DIA DESSES
Alcione,3060,DELÍRIO DE AMOR
Alcione,3169,NÃO DEIXE O SAMBA MORRER
Alcione,3263,SUFOCO
Alcione,3270,TÔ COM SAUDADE
Alcione,1979,GAROTO MAROTO
Alcione,2694,"NÃO CHORE, NÃO"
Alcione,2797,MELHORES MOMENTOS
Alcione,15022,A PAIXÃO TEM MEMÓRIA
Alcione,16274,NEM MORTA
Alcione,4196,GOSTOSO VENENO
Alcione,6246,ALÉM DA CAMA
Alcione,6521,A LOBA
Alcione,6626,O MUNDO É DE NÓS DOIS
Alcione,6759,VOCÊ ME VIRA A CABEÇA
Alcione,6940,MEU ÉBANO
Alcione,7186,NA HORA DA RAIVA
Alcione,7232,RIO ANTIGO
Alcione,7201,O SURDO
Alcione,16633,AMOR SURREAL
Alcione - Gonzaguinha,15739,MESA DE BAR
Alcione E Alexandre Pires,4079,ESTRANHA LOUCURA
Alda Célia,2402,A COLHEITA
Alda Célia,2426,ÓLEO DE ALEGRIA
Alda Célia,2428,PODER DA ORAÇÃO
Alda Célia,2439,VOAR COMO A ÁGUIA
Alda Célia,2462,MOSTRA-ME TUA GLÓRIA
Alda Célia,7755,CHUVA DE AVIVAMENTO
Alda Célia,7875,SOPRA ESPÍRITO DE DEUS
Alejandro Sanz,4105,CORAZÓN PARTÍO
Alem do Véu,2424,NASCI PRA VENCER
Além do Véu,2965,ALÉM DO VÉU
Além do Véu,2980,FILHOS DE DEUS
Alesis Brothers,9007,BABY COME BACK
Alesis ,9242,ALL FOR A REASON 
Alex e Ronaldo,16235,SEXTA FEIRA SUA LINDA
Alexandre Peixe,9569,VOCÊ VAI PIRAR
Alexandre Peixe ,1077,EU SOU MAIS VOCÊ 
Alexandre Pires,7696,SE ELA ME AMASSE
Alexandre Pires,7603,EU TIRO A SUA ROUPA
Alexandre Pires,7697,SEM TEU AMOR NADA É IGUAL
Alexandre Pires,9575,A DEUS EU PEÇO
Alexandre Pires,1210,CIGANO
Alexandre Pires,1472,SÓ POR UM MOMENTO
Alexandre Pires,1532,MULHER DAS ESTRELAS
Alexandre Pires,1558,LEVE TUDO COM VOCÊ
Alexandre Pires,1786,ERRO MEU
Alexandre Pires,2877,SISSI
Alexandre Pires,15834,QUEM É VOCÊ
Alexandre Pires,6198,USTED SE ME LLEVÓ LA VIDA
Alexandre Pires,6251,É POR AMOR
Alexandre Pires,6302,NECESSIDADE
Alexandre Pires,6443,A MUSA DAS MINHAS CANÇÕES
Alexandre Pires,6640,VEM ME AMAR (AMAME)
Alexandre Pires,6649,"BUM, BUM, BUM"
Alexandre Pires,6816,COISA DO DESTINO
Alexandre Pires,6988,TIRA ELA DE MIM
Alexandre Pires ,1073,DESSA VEZ EU ME RENDO 
Alexandre Pires - Seu Jorge,15408,EU SOU O SAMBA
Alexandre Pires e Daniel,1106,CHEGUEI TARDE DEMAIS
Alexandre Pires E Fat Family,6764,AO SENTIR O AMOR
Alexandre Pires e Revelação,9655,DELÍRIOS DE AMOR
Aliados,1153,SORRINDO
Aliados,15446,ÁGUAS PASSADAS
Aliados,15455,ESPERANÇA
Alice,2266,IMA WA MOH DARE MO
Alice ,5117,FUYU NO INAZUMA
Alice Cooper,9144,NO MORE MR. NICE GUY
Alice Cooper,2526,I NEVER CRY
Alice Cooper,19699,HOW YOU GONNA SEE ME NOW
Alicia Bridges,19846,I LOVE THE NIGHTLIFE
Alicia keys,4890,FALLIN'
Alicia Keys,2568,NO ONE
Alicia Keys,19207,GIRL ON FIRE
Alicia Keys,19529,IF I AIN'T GOT YOU
Alien Ant Farm,4966,SMOOTH CRIMINAL
Aline Barros,9527,RECOMEÇAR
Aline Barros,1809,RESSUSCITA-ME
Aline Barros,1878,"SONDA-ME, USA-ME"
Aline Barros,15488,DEUS EXTRAORDINÁRIO
ALINE BARROS,5605,CONSAGRAÇÃO
ALINE BARROS,5606,DEUS DO IMPOSSÍVEL
ALINE BARROS,5610,FICO FELIZ
ALINE BARROS,5615,JESUS CRISTO MUDOU MEU VIVER
ALINE BARROS,5616,JESUS FAZ PARTE
Aline Barros,2413,CARPINTEIRO
