cantor,code,titulo
Carly Simon,4695,COMING AROUND AGAIN
Carmelo Pagano,7021,L'AMORE SE NE VA
Carmem Silva,7493,ADEUS SOLIDÃO
Carmen Maki,5197,HAHA NO NAI KONO YOUNI
Carmen Maki,5307,YAGUI NI HIKARETE
Carmen Silva,16111,SEGURA NA MÃO DE DEUS
Carnaval,3782,ALLAH LA ÓH
Carnaval,3783,AURORA
Carnaval,3785,CACHAÇA
Carnaval,3787,CORAÇÃO DE JACARÉ
Carnaval,3800,JARDINEIRA
Carnaval,3802,MAMÃE EU QUERO
Carnaval,3805,ME DÁ UM DINHEIRO AÍ
Carnaval,3810,"QUEM SABE, SABE"
Carnaval,3812,SACA ROLHA
Carnaval,3813,SASSARICANDO
Carnaval,3817,TAÍ
Caro Emerald,19161,A NIGHT LIKE THIS
Carol Celico e Claudia Leitte,2678,MESMA LUZ
Carol Song,4651,SILVER BELLS
Carol Song,4604,SILENT NIGHT
Carole King,9171,SO FAR AWAY
Carole King,4730,IT’S TOO LATE
Carpenters,9014,CLOSE TO YOU
Carpenters,9068,THIS MASQUERADE
Carpenters,4914,I NEED TO BE IN LOVE
Carpenters,9156,RAINY DAYS AND MONDAYS
Carpenters,9194,WE'VE ONLY JUST BEGUN
Carpenters,9115,HURTING EACH OTHER
Carpenters,9133,LET ME BE THE ONE
Carpenters,2552,BLESS THE BEASTS AND THE CHILDREN
Carpenters,19173,FOR ALL WE KNOW
Carpenters,19668,SING
Carpenters,4752,ONLY YESTERDAY
Carpenters,4612,TOP OF THE WORLD
Carpenters,4615,YESTERDAY ONCE MORE
Carpenters,4728,IT’S GONNA TAKE SOME TIME
Carpenters,4606,SUPERSTAR
Carpenters,4756,PLEASE MR. POSTMAN
Carrapicho,3565,FESTA DE UM POVO
Cartola,9591,ACONTECE
Cartola,9854,O MUNDO É UM MOINHO
Cartola,3018,AS ROSAS NÃO FALAM
Casa de Davi (Davi Silva e Mike Shea),7769,DIGNO
Casa de Davi (Davi Silva e Mike Shea),7869,SANTO É O TEU NOME
Cascatinha E Inhana,3365,ÍNDIA
Cássia Eller,7562,BLUES DA PIEDADE
Cássia Eller,7649,NO RECREIO
Cássia Eller,7994,LUZ DOS OLHOS
Cássia Eller,9550,TODA VEZ QUE EU DIGO ADEUS
Cássia Eller,1384,GATAS EXTRAORDINÁRIAS
Cássia Eller,1522,ALL STAR
Cássia Eller,1988,AS COISAS TÃO MAIS LINDAS
Cássia Eller,16103,NÓS
Cássia Eller,3623,MALANDRAGEM
Cássia Eller,3661,E.C.T.
Cássia Eller,16211,1º DE JULHO
Cássia Eller,6317,TOP TOP
Cássia Eller,6343,O SEGUNDO SOL
Cássia Eller,6429,O MEU MUNDO FICARIA COMPLETO
Cássia Eller,6708,PALAVRAS AO VENTO
Cássia Eller,6737,NA CADÊNCIA DO SAMBA
Cássia Eller e Nando Reis,1740,RELICÁRIO
CASSIANE,5613,HINO DA VITORIA
Cassiane,2414,COM CRISTO É VENCER
Cassiane,2420,ELE TEM PODER
Cassiane,2437,VAI POVO MEU
Cassiane,2440,VOU SEGUIR
Cassiane,2441,500 GRAUS
Cassiane,2447,BASTA UMA PALAVRA
Cassiane,2457,LOUVE SEMPRE
Cassiane,2460,MERGULHE
Cassiane,2461,MINHA BÊNÇÃO
Cassiane,2471,SEMENTES DA FÉ
Cassiane,2474,TODO PODEROSO
Cassiane,7731,A CURA
Cassiane,7757,COM MUITO LOUVOR
Cassiane e Jairinho,2410,CADA INSTANTE DE NÓS DOIS
Cassiane e Jairinho,2960,VOCÊ E EU
Cassiane e Jairinho,7849,O TEMPO NÃO PODE APAGAR
Cassiano,1311,SALVE ESSA FLOR
Casuarina,1478,VASO RUIM
Cat Stevens,9074,WILD WORLD
Catedral,15533,EU QUERO SOL NESSE JARDIM
Catedral,15542,MIL MANEIRAS
Catedral,15634,UMA CANÇÃO DE AMOR PRA VOCÊ
Catedral,6215,EU AMO MAIS VOCÊ
Catedral,6514,TCHAU
Catedral,7754,CHAME A DEUS
Cauby Peixoto,1173,NINGUÉM É DE NINGUÉM
Cauby Peixoto,15936,É TÃO SUBLIME O AMOR
Cauby Peixoto,4468,CONCEIÇÃO
Cauby Peixoto,6618,MOLAMBO
Cavaleiros do Forró,15825,GELO NA BALADA
Cavalo De Pau,3763,PADECER NO PARAÍSO
Caviar Com Rapadura,7455,SOMOS LOUCOS
Cazuza,1156,VAI À LUTA
Cazuza,1421,EU QUERIA TER UMA BOMBA
Cazuza,3099,FAZ PARTE DO MEU SHOW
Cazuza,3312,CODINOME BEIJA - FLOR
Cazuza,3731,TODO AMOR QUE HOUVER NESTA VIDA
Cazuza,3847,MAIOR ABANDONADO
Cazuza,16299,QUANDO EU ESTIVER CANTANDO
Cazuza,4390,BRASIL
Cazuza,4454,QUASE UM SEGUNDO
Cazuza,6230,O TEMPO NÃO PÁRA
Cazuza,3095,EXAGERADO
Cazuza,3364,IDEOLOGIA
Cazuza,3377,O NOSSO AMOR A GENTE INVENTA
Cazuza,16657,MINHA FLOR MEU BEBE
Ce Ce Peniston,19573,FINALLY
Cecéu Muniz,15257,MEXA A LOMBA LOMBA
Cecéu Muniz,15260,MOLEM MOLEM
Cecéu Muniz,6550,SEM PERCEBER
Cecéu Muniz,7077,BRILHO DAS ESTRELAS
Celia,1340,RIO DE JANEIRO (ISSO É O MEU BRASIL)
Célia,1639,VIDAS INTEIRAS
Celine Dion,3924,MY HEART WILL GO ON
Celine Dion,4811,ALL BY MYSELF
Celine Dion,9037,I'M ALIVE
Celine Dion,4983,TO LOVE YOU MORE
Celine Dion,9121,(IF THERE WAS) ANY OTHER WAY
Celine Dion,19194,THE CHRISTMAS SONG
Celine Dion,19271,THAT'S THE WAY IT IS
Celine Dion,19321,A NEW DAY HAS COME (RADIO REMIX)
Celine Dion,19557,THE POWER OF LOVE
Celine Dion,19657,IT'S ALL COMING BACK TO ME NOW
Celine Dion,4685,BECAUSE YOU LOVED ME
Celine Dion - Andrea Bocelli,19410,THE PRAYER
Celine Dion & Peabo Bryson,4815,BEAUTY AND THE BEAST
Celine Dion e Bee Gees,4723,IMMORTALITY
Celine Dion e C. Griffin,4802,WHEN I FALL IN LOVE
Celso Blues Boy,2703,AUMENTA QUE ISSO AÍ É ROCK AND ROLL
Celso Ricardi,7706,TE AMO ETERNAMENTE
Cely Campello,3026,BANHO DE LUA
Cely Campello,3085,ESTÚPIDO CUPIDO
Cely Campelo,9553,TÚNEL DO AMOR
Century,2531,LOVER WHY
Cesar e Paulinho,9606,AMOR ALÉM DA VIDA
Cesar e Paulinho,9699,MEU ENDEREÇO
César e Paulinho,1158,VOCÊ É TUDO QUE PEDI PRA DEUS
César Menotti E Fabiano,7624,LEILÃO
César Menotti e Fabiano,7923,CASO POR ACASO
César Menotti e Fabiano,9283,MENSAGEM PRA ELA
César Menotti e Fabiano,9358,VEM ME AMAR
César Menotti e Fabiano,9394,AQUI NÃO
César Menotti e Fabiano,9549,TÔ MORRENDO DE SAUDADE
César Menotti e Fabiano,9644,CIUMENTA
César Menotti e Fabiano,9664,DO LADO ESQUERDO
César Menotti e Fabiano,1329,TARDE DEMAIS
César Menotti E Fabiano,1556,LABIRINTO
César Menotti e Fabiano,2803,É RUIM QUE DÓI
César Menotti e Fabiano,15305,NÃO ERA EU
Cesar Menotti e Fabiano ,1021,PARA DE CHORAR
César Menotti e Fabiano - Jorge e Mateus,15222,DOIS CORAÇÕES
Cesar Sampaio,15076,SECRETÁRIA DA BEIRA DO CAIS
Céu,7625,LENDA
Céu,9472,MALEMOLÊNCIA
Céu,15230,FALTA DE AR
Céu e Diogo Poças,2727,NADA QUE TE DIZ RESPEITO
Cezar E Paulinho,7314,CARMINHA
Cezar e Paulinho,15377,FUSCA 66
Cezar E Paulinho,6269,PERDOA
Cezar E Paulinho,6282,A GATA DO BMW
Cezar E Paulinho,6978,SE TIVER MULHER NÓIS VAI
Cézar E Paulinho,7187,NÃO OLHE PRO MEU OLHAR
Cezar E Paulinho (Part. Daniel),6500,NÓIS É CAUBÓI (NÓIS É XIKI NU ÚRTIMO)
Chad Kroeger - Josey Scott,19253,HERO
Chage & Aska,5450,OTOKO TO ONNA
Chage and Aska,18457,IF
Chage e Aska,5168,SAY YES
Chage e Aska,5189,YAH! YAH! YAH!
Chan Unsuku,2274,KAKUGO SHIDAI
Chan Unsuku,18292,GARASU NO PIERCE
Chan Unsuku,18307,MEGURIAI
Chan Unsuku,18357,UNMEI NO SHUJINKOH
Channels,5161,RUN AWAY
Charlene,19886,I'VE NEVER BEEN TO ME
Charles And Eddie,9198,WOULD I LIE TO YOU?
Charlie Brown Jr,16676,O CORO VAI COME
Charlie Brown Jr.,7376,LUTAR PELO QUE É MEU
Charlie Brown Jr.,7591,ELA VAI VOLTAR
Charlie Brown Jr.,7698,SENHOR DO TEMPO
Charlie Brown Jr.,7944,"DIAS DE LUTA, DIAS DE GLÓRIA"
Charlie Brown Jr.,9515,PONTES INDESTRUTÍVEIS
Charlie Brown Jr.,1520,SÓ OS LOUCOS SABEM
Charlie Brown Jr.,2846,CÉU AZUL
Charlie Brown Jr.,15256,MEU NOVO MUNDO
Charlie Brown Jr.,15597,UM DIA A GENTE SE ENCONTRA
Charlie Brown Jr.,16108,QUINTA-FEIRA
Charlie Brown Jr.,16218,COMO TUDO DEVE SER
Charlie Brown Jr.,16277,TUDO QUE ELA GOSTA DE ESCUTAR
Charlie Brown Jr.,16387,ME ENCONTRA
Charlie Brown Jr.,4291,PROIBIDA PRA MIM
Charlie Brown Jr.,4340,ZÓIO D LULA
Charlie Brown Jr.,6378,LUGAR AO SOL
Charlie Brown Jr.,6814,CHAMPAGNE E ÁGUA BENTA
Charlie Brown Jr.,7255,TE LEVAR
Charlie Brown Jr. - Negra Li,15074,NÃO É SÉRIO
Charlie Puth,19812,ATTENTION
Charlie Puth - Meghan Trainor,19407,MARVIN GAYE
Chay Suede,15393,PAPEL
Chayene,15099,VOA VOA BRABULETA (XOTE DA BRABULETA)
Checkers,5025,NAMIDA NO RIKUESUTO
Checkers,5411,LONG ROAD
Checkers,5477,TOKINO K-CITY
Cheiro de Amor ,1074,DIAS DE SOL 
Cheiro de Amor - Pablo,15563,AMOR DE SOBREMESA
Chelsia Chan,4629,GRADUATION TEARS
Chemistry,5779,PIECES OF A DREAM
Chemistry,5781,POINT OF NO RETURN
Chemistry,5843,YOU GO YOUR WAY
Chemistry,18382,MY GIFT TO YOU
Cher,4969,STRONG ENOUGH
Cher,4865,BELIEVE
Cherish,5178,TENTOU MUSHINO SAMBA
Cheryl Lynn,19819,GOT TO BE REAL
Cheuni,5713,IKEGAMISSEN
Cheuni,5791,SAIAI NO HITO
Cheuni,2005,HIRENKA
Cheuni,2141,HOSHIZORA NO TOKYO
Cheuni,2234,TOKYO TWILIGHT
Cheuni,18354,TOKYO NO KAREHA
Chiaki Naomi,2238,YAKUSHA
Chiba Kazuo,18533,MASATO BUSHI
Chiba Kazuo,18584,MIREN BUNE
Chicabana,1381,EU QUERO SÓ VOCÊ
Chicago,2560,YOU'RE THE INSPIRATION
Chicago,4631,IF YOU LEAVE NOW
Chicago,4641,MAKE ME SMILE
Chicago,4619,COLOUR MY WORLD
Chicago ,9222,HARD FOR ME TO SAY I'M SORRY 
Chicas,1143,CARAS E BOCAS
Chiclete Com Banana,7728,"VOA, VOA"
Chiclete Com Banana,7687,QUERO CHICLETE
Chiclete Com Banana,7586,DIGA PRA MIM
Chiclete com Banana,9453,EU QUERO ESSE AMOR
Chiclete com Banana,9517,POSSO SENTIR
Chiclete com Banana,9577,A FILA ANDOU
Chiclete com Banana,1684,CHORAREI AMOR
Chiclete Com Banana,16038,SELVA BRANCA
Chiclete Com Banana,6812,CEM POR CENTO VOCÊ
Chiclete Com Banana,6963,PERFUME DE LUAR
Chiclete Com Banana,7105,DIGA QUE VALEU
Chiclete Com Banana,7191,NÃO VOU CHORAR
Chiclete Com Banana,3372,ME PEGUE SE QUISER
Chiclete com Banana ,1010,FLUTUAR
Chico B. E Nara Leão,4319,JOÃO E MARIA
Chico Buarque,7907,AS VITRINES
Chico Buarque,9630,CAROLINA
Chico Buarque,9656,DESALENTO
Chico Buarque,9842,MORENA DOS OLHOS D'ÁGUA
Chico Buarque,9678,EU TE AMO
Chico Buarque,1167,GOTA D'ÁGUA
Chico Buarque,1284,BRISA DO MAR
Chico Buarque,1291,HOMENAGEM AO MALANDRO
Chico Buarque,1617,OLÊ OLÁ
Chico Buarque,1725,FUTUROS AMANTES
Chico Buarque,3276,TROCANDO EM MIÚDOS
Chico Buarque,3191,O QUE SERÁ
Chico Buarque,15023,A RITA
Chico Buarque,15029,CIRANDA DA BAILARINA
Chico Buarque,15039,RETRATO EM BRANCO E PRETO
Chico Buarque,15050,GENI E O ZEPELIM
Chico Buarque,15098,VALSINHA
Chico Buarque,15274,TERESINHA
Chico Buarque,15932,CONSTRUÇÃO
Chico Buarque,3917,GENTE HUMILDE
Chico Buarque,4416,VAI PASSAR 
Chico Buarque,6433,RODA VIVA
Chico Buarque,6721,A VOLTA DO MALANDRO
Chico Buarque,6766,BYE BYE BRASIL
Chico Buarque,6872,"QUEM TE VIU, QUEM TE VÊ"
Chico Buarque,1054,O CADERNO
Chico Buarque,3455,APESAR DE VOCÊ
Chico Buarque - Elis Regina,1923,NOITE DOS MASCARADOS
Chico Buarque e Elza Soares ,1288,FAÇAMOS (VAMOS AMAR)
Chico Buarque e Luisa Buarque,9636,CEM MIL RÉIS
Chico Buarque E Maria Bethânia,6592,SEM FANTASIA
Chico Buarque e Milton Nascimento,2904,CÁLICE
Chico Buarque e MPB4,1541,AMIGO É PRA ESSAS COISAS
"Chico Buarque, Miúcha e Tom Jobim",1296,MANINHA
Chico César,2872,PÉTALA POR PÉTALA
Chico César,3624,MAMA ÁFRICA
Chico César,6476,TEMPLO
Chico Rei e Paraná,9599,ALMA TRANSPARENTE
Chico Rey e Paraná,15072,LEÃO DOMADO
Chico Rey e Paraná,15075,NÃO SÃO SÓ PALAVRAS LINDAS
Chico Rey e Paraná,15245,CANARINHO PRISIONEIRO
Chico Rey e Paraná,16158,UM DEGRAU NA ESCADA
Chico Rey e Paraná,16558,QUEM SERÁ SEU OUTRO AMOR
Chihiro Onitsuka,5361,GUEKKOU
Chimarruts,9908,VERSOS SIMPLES
Chimarruts,1228,PRA ELA
Chimarruts,1667,DO LADO DE CÁ
Chimarruts,2864,EM BUSCA DA FÉ
Chimarruts,15058,QUANDO O AMOR BATE A PORTA
Chimarruts,16380,SABER VOAR
Chiquititas,15210,ATÉ DEZ
Chiquititas,15277,TUDO TUDO
Chiquititas,3811,REMEXE (RECHUFAS)
Chiquititas,3864,BERLINDA (BERLIN)
Chiquititas,16272,MENTIRINHAS (MENTIRITAS)
Chiquititas,1043,CORAÇÃO COM BURAQUINHOS
Chitãozinho E Xororó,7344,"É AMOR, É PAIXÃO"
Chitãozinho E Xororó,7610,FOGÃO DE LENHA
Chitãozinho e Xororó,7965,FALANDO ÀS PAREDES
Chitãozinho e Xororó,1331,AI MARIA
Chitãozinho e Xororó,1400,SACO DE OURO
Chitãozinho e Xororó,1409,COWBOY DO ASFALTO
Chitãozinho e Xororó,1799,VÁ PRO INFERNO COM SEU AMOR
Chitãozinho E Xororó,3510,BAILÃO DE PEÃO
Chitãozinho E Xororó,3551,60 DIAS APAIXONADO
Chitãozinho E Xororó,3564,FEITO EU
Chitãozinho E Xororó,3588,PÁGINA DE AMIGOS
Chitãozinho E Xororó,3548,VEZ EM QUANDO VEM ME VER
Chitãozinho E Xororó,3035,BRINCAR DE SER FELIZ
Chitãozinho E Xororó,3172,NO RANCHO FUNDO
Chitãozinho E Xororó,3181,NUVEM DE LÁGRIMAS
Chitãozinho E Xororó,3303,ATÉ VOCÊ VOLTAR
Chitãozinho E Xororó,3326,FOGE DE MIM
Chitãozinho E Xororó,3414,CORAÇÃO SERTANEJO
Chitãozinho E Xororó,3573,LOIRA GELADA
Chitãozinho E Xororó,3094,EVIDÊNCIA
Chitãozinho E Xororó,3218,PLANETA AZUL
Chitãozinho e Xororó,15007,AVE MARIA
Chitãozinho e Xororó,15070,FAZ UM ANO
Chitãozinho e Xororó,15818,É DISSO QUE O VELHO GOSTA
Chitãozinho e Xororó,16022,A MAIS BONITA DAS NOITES
Chitãozinho E Xororó,3655,CONFIDÊNCIAS
Chitãozinho E Xororó,3677,PALAVRAS (WORDS)
Chitãozinho E Xororó,3678,PODE SER PRA VALER
Chitãozinho E Xororó,3685,SÓ QUEM AMOU DEMAIS
Chitãozinho E Xororó,3704,É ASSIM QUE TE AMO
Chitãozinho E Xororó,3706,ELA NÃO VAI MAIS CHORAR
Chitãozinho E Xororó,3764,PÉ NA ESTRADA
Chitãozinho E Xororó,3855,PENSANDO EM MINHA AMADA
Chitãozinho E Xororó,3862,A MINHA VIDA
Chitãozinho E Xororó,3896,PURA EMOÇÃO
Chitãozinho E Xororó,3925,O HOMEM DE NAZARÉ
Chitãozinho E Xororó,3933,SE DEUS ME OUVISSE
Chitãozinho e Xororó,16598,OBRAS DE POETA
Chitãozinho E Xororó,4032,DEIXEI DE SER COWBOY POR ELA
Chitãozinho E Xororó,4080,EU MENTI
Chitãozinho E Xororó,4165,NA ABA DO MEU CHAPÉU
Chitãozinho E Xororó,4216,TE ESQUECER É IMPOSSÍVEL
Chitãozinho E Xororó,4226,ATÉ QUE TE CONHECI
Chitãozinho E Xororó,4345,ALÔ
Chitãozinho E Xororó,4448,O AMOR É MAIS FORTE
Chitãozinho E Xororó,6079,"UM, DOIS, TRÊS"
Chitãozinho E Xororó,6308,QUE AMOR É ESSE
Chitãozinho E Xororó,6396,UM SONHO DE AMOR
Chitãozinho E Xororó,6461,EU E O SABIÁ
Chitãozinho E Xororó,6568,ENCONTRO CASUAL
Chitãozinho E Xororó,6655,FRETE
Chitãozinho E Xororó,6793,SINÔNIMO
Chitãozinho E Xororó,6876,SISTEMA BRUTO
Chitãozinho E Xororó,6913,ESSÊNCIA DO PRAZER
Chitãozinho E Xororó,7149,GALINHADA
Chitãozinho E Xororó,3102,FIO DE CABELO
Chitãozinho E Xororó,3395,UM HOMEM QUANDO AMA
Chitãozinho E Xororó,3479,NASCEMOS PRA CANTAR
Chitãozinho e Xororó - Leandro e Leonardo,16122,COLCHA DE RETALHOS
Chitãozinho E Xororó E Roupa Nova,6258,FRIO DA SOLIDÃO (DON'T LET ME DOWN)
"Chitãozinho, Xororó E R. Mcentire",6170,CORAÇÃO VAZIO
Cho Yong Pil,2004,HAHA KAGE
Cho Yong Pil,2282,MADO NO SOTO NO ONNA
Chou Yong Pil,5080,OMOIDE MAIGO
Chris Brown,19029,YEAH 3X
Chris de Burg,4732,LADY IN RED
Chris de Burgh,2530,LOVE IS MY DECISION
Chris de Burgh,2549,SO BEAUTIFULL
Chris de Burgh,19731,FLYING
Chris Durán,2435,TUA É A GLÓRIA
Chris Durán,2436,ÚNICO CAMINHO
Chris Durán,2472,SONHOS
Chris Isaak,19320,WICKED GAMES
Chris Rea,9028,FOOL (IF YOU THINK IT'S OVER)
Chris Thompson,2507,IF YOU REMEMBER ME
Christian e Cristiano,1422,FÃ
Christian E Ralf,7371,IPÊ FLORIDO
Christian e Ralf,1731,AUSÊNCIA
Christian E Ralf,3559,DESEJO DE AMAR
Christian E Ralf,3421,ESSE AMOR QUE ME MATA
Christian e Ralf,15127,LOUCURA DEMAIS
Christian E Ralf,3645,VIRA VIROU
Christian E Ralf,4006,MINHA GIOCONDA
Christian E Ralf,4013,SENSÍVEL DEMAIS
Christian E Ralf,4252,SEM DOCUMENTO
Christian E Ralf,6583,ONDE VOCÊ FOR EU VOU
Christian E Ralf,6665,NOVA YORK
Christian E Ralf,6898,CHEIRO DE SHAMPOO
Christian E Ralf,6955,O QUE TIVER DE VIR VIRÁ
Christian E Ralf,7251,SOU EU
Christie,4807,YELLOW RIVER
Christina Aguilera,4823,GENIE IN A BOTTLE
Christina Aguilera,4825,I TURN TO YOU
Christina Aguilera,19597,WHAT A GIRL WANTS
Christina Aguilera,19608,COME ON OVER (ALL I WANT IS YOU)
Christina Aguilera,19694,FIGHTER
Christina Aguilera,19453,BEAUTIFUL
Christina Aguilera - Lil' Kim - Maya - Pink,19659,LADY MARMALADE
Christina Perri,19041,A THOUSAND YEARS
Christopher Cross,4861,ARTHUR'S THEME (BEST THAT YOU CAN DO)
Christopher Cross,4961,SAILING
Christopher Cross,2534,NEVER BE THE SAME
Christopher Cross,2611,I WILL TAKE YOU FOREVER
Chrystian e Ralf,16538,SAUDADE
Chrystian E Ralf,6360,UM CANTINHO DO SEU CORAÇÃO (CACHITO)
Chrystian e Ralf,16678,OLHOS DE LUAR
Chrystian ,9254,DON'T SAY GOODBYE 
Chubby Checker,4533,LET'S TWIST AGAIN
Chubby Checker ,9277,THE TWIST 
Chuck Berry,4635,JOHNNY B. GOOD
Chumbawamba,19676,TUBTHUMPING
Ciclone,15794,TIPO ONE WAY
Ciculadô de Fulô,15102,ÁGUAS MANSAS
Cidade Negra,7617,HOJE
Cidade Negra,9306,O PARAÍSO TEM UM TEMPO BOM
Cidade Negra,9478,MEU CORAÇÃO
Cidade Negra,1293,JOHNNY B. GOOD
Cidade Negra,1391,NEGRO REI
Cidade Negra,3337,ONDE VOCÊ MORA?
Cidade Negra,3562,DOWNTOWN
Cidade Negra,3561,DOUTOR
Cidade Negra,3534,PENSAMENTO
Cidade Negra,3608,CASA 
Cidade Negra,3619,FIRMAMENTO
Cidade Negra,3627,MUCAMA
Cidade Negra,3664,FALAR A VERDADE
Cidade Negra,3670,LUTA DE CLASSES
Cidade Negra,3672,MINHA IRMÃ
Cidade Negra,3889,O ERÊ
Cidade Negra,4212,SÁBADO À NOITE
Cidade Negra,4269,EU TAMBÉM QUERO BEIJAR
Cidade Negra,4301,A COR DO SOL
Cidade Negra,6001,A FLECHA E O VULCÃO
Cidade Negra,6146,NA MORAL
Cidade Negra,6374,GIRASSOL
Cidade Negra,6482,A ESTRADA
Cidade Negra,6807,ALÉM DAS ONDAS
Cidade Negra,3352,A SOMBRA DA MALDADE
Cidade Negra,3384,QUEREM MEU SANGUE
Cidinho e Doca,16608,RAP DA FELICIDADE (EU SÓ QUERO É SER FELIZ)
Cinderela,7510,BIBIDI-BABIDI-BU
Cindy Lauper ,9203,ALL THROUGH THE NIGHT 
Cine,1646,AS CORES
Cine,15916,QUER SABER?
Cine - Sevenlox,15262,NUNCA NINGUÉM MORREU DE AMOR
Circuladô De Fulô,6901,CHUVA DE GELO
Ciro Monteiro,3932,SE ACASO VOCÊ CHEGASSE
Clamor Pelas Nações(Ricardo Robortella),7861,QUANDO SINTO TEU TOQUE
Clara Becker,6466,NOVAMENTE
Clara Nunes,9396,AS FORÇAS DA NATUREZA
Clara Nunes,1592,JUIZO FINAL
Clara Nunes,3520,É BAIANA
Clara Nunes,3536,PORTELA NA AVENIDA
Clara Nunes,15153,SERRINHA
Clara Nunes,15575,IJEXÁ
Clara Nunes,15830,NA LINHA DO MAR
Clara Nunes,16080,ZAMBELÊ
Clara Nunes,3761,O MAR SERENOU
Clara Nunes,4117,LAMA
Clara Nunes,4282,MORENA DE ANGOLA
Clara Nunes,7082,CANTO DAS TRÊS RAÇAS
Clara Nunes,7152,GUERREIRA
Clara Nunes,7264,TRISTEZA PÉ NO CHÃO
Clara Nunes,7277,VOCÊ PASSA EU ACHO GRAÇA
Clara Nunes,7095,CONTO DE AREIA
Clara Nunes,7135,FEIRA DE MANGAIO
Clarice Falcão,15328,DE TODOS OS LOUCOS DO MUNDO
Cláudia Barroso,7049,AH SE EU FOSSE VOCÊ
Cláudia Barroso ,1766,A VIDA É MESMO ASSIM
Claudia Leite,9859,PÁSSAROS
Claudia Leite,1218,HORIZONTE
Claudia Leite,1405,AS MÁSCARAS
Claudia Leite e Dudu Nobre,7898,ACONTECE QUE EU SOU BAIANO
Claudia Leite e Travis McCoy,1586,FAMOSA (BILLIONAIRE)
Claudia Leitte,1661,ÁGUA
Claudia Leitte,2665,BEIJAR NA BOCA
Claudia Leitte,2751,PRETO
Claudia Leitte,15036,LARGADINHO
Claudia Leitte,15318,TARRAXINHA
Claudia Leitte,15407,CLAUDINHA BAGUNCEIRA
Claudia Leitte,15704,MATIMBA
Claudia Leitte,16431,BALANCINHO
Claudia Leitte,16669,TAQUITA
Cláudia Leitte,16259,BALDIN DE GELO
Claudia Leitte - J.Perry,15567,DEKOLE
Claudia Leitte - Luan Santana,15811,CARTÓRIO
Claudia Leitte - Sérgio Mendes,15339,MAGALENHA
Claudia Leitte - Thiaguinho,15396,QUER SABER
Claudia Leitte - Wesley Safadão,15950,PANCADÃO FRENÉTICO
Claudia Leitte e Belo,1668,DON JUAN
Claudia Telles,6444,A NOITE VAI CHEGAR
Cláudia Telles,7961,EU PRECISO TE ESQUECER
Cláudia Telles,6134,FIM DE TARDE
Claudinho e Buchecha,16037,QUERO TE ENCONTRAR
Claudinho E Buchecha,3656,CONQUISTA
Claudinho E Buchecha,3887,NOSSO SONHO
Claudinho E Buchecha,4133,SÓ LOVE
Claudinho E Buchecha,6183,MALES
Claudinho E Buchecha,6408,COISA DE CINEMA
Cláudio Fontana,6887,ADEUS INGRATA
Claudio Zoli,9469,IRA
Claudio Zoli,6487,"CADA UM, CADA UM (A NAMORADEIRA)"
Cláudio Zoli,1324,FLOR DO FUTURO
Cláudio Zoli,6427,NOITE DO PRAZER
Cláudio Zoli,7207,PARAÍSO
Claus e Vanessa,15142,MEDO DE AMAR
Clean Bandit - Jess Glynne,19228,RATHER BE
Cleber e Cauan,15091,OUSADIA (HOJE EU QUERO TRAIR)
Cleber e Cauan,15323,BUMBOLETE
Cleber e Cauan - Aviões do Forró,15944,LEVANTA O COPO
Cleber e Cauan - Cacio e Marcos,15595,SÓ QUE NÃO
Cleiton E Camargo,7636,ME ACERTOU EM CHEIO
Cleiton e Camargo,15498,ONDE ESTÁ
Cleiton E Camargo,3931,QUANDO UM GRANDE AMOR SE FAZ
Cleiton E Camargo,4022,AGENDA RABISCADA
Cleiton E Camargo,4243,NA HORA DE AMAR
Cleiton E Camargo,4245,OUTRA CHANCE
Cleiton E Camargo,6265,OLHA PRA MIM
Cliff Richard,9191,WE DON'T TALK ANYMORE
Cliff Richard,4609,THE YOUNG ONE'S
Clovers,4593,LOVE POTION NUMBER NINE
Club Nouveau,19507,LEAN ON ME
CNCO,19955,PRETEND
CNCO - Little Mix,19828,REGGAETÓN LENTO (REMIX)
Cocco,5828,TSUYOKU HAKANAI MONO TACHI
Cogumelo Plutão,9401,BEIJAR NA BOCA
Cogumelo Plutão,6253,ESPERANDO NA JANELA
Colbie Caillat,19002,BRIGHTER THAN THE SUN
Colbie Caillat,19006,I DO
Colbie Caillat,19089,BUBBLY
Coldplay,5884,CLOCKS
Coldplay,19012,PARADISE
Coldplay,19024,VIVA LA VIDA
Coldplay,19158,YELLOW
Coldplay,19438,MAGIC
Coldplay,19524,FIX YOU
Coldplay,19558,THE SCIENTIST
Coldplay,19704,IN MY PLACE
Coldplay,19811,ADVENTURE OF A LIFETIME
Coldplay,19446,A SKY FULL OF STARS
Coldplay -  Chainsmokers (The),19834,SOMETHING JUST LIKE THIS
Coldplay - Beyonce,19615,HYMN FOR THE WEEKEND
Colin Hay Band,19913,INTO MY LIFE
Collin Raye,19357,WHAT IF JESUS COMES BACK LIKE THAT
Commodores,4610,THERE TIME A LADY
Commodores ,9214,EASY 
Companhia Do Calypso,7703,TARARÁ
Companhia do Calypso,9536,SÓ EU
Companhia do Calypso,9631,CARRO DE APAIXONAO
Companhia Do Calypso,7240,SE MANCOL
Companhia Do Calypso,7108,DOCE TENTAÇÃO
Companhia Do Calypso,7174,MEDO DE FALAR
